w , h , A
38 , 22 , 836
36 , 23 , 828
36 , 22 , 792
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 22 , 792
36 , 23 , 828
36 , 22 , 792
36 , 23 , 828
36 , 22 , 792
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 22 , 792
36 , 23 , 828
36 , 23 , 828
38 , 23 , 874
38 , 23 , 874
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 23 , 828
36 , 24 , 864
36 , 24 , 864
36 , 23 , 828
36 , 24 , 864
36 , 23 , 828
38 , 23 , 874
38 , 24 , 912
38 , 25 , 950
